Timestamp,First,Dart,Glider,Location,Throwing,Origami
2/4/22 15:38,Dart,17.25,6.91,Inside,No,No
2/4/22 15:38,Glider,17.5,8.8,Inside,No,No
2/4/22 15:40,Glider,"16'8""","11'9""",Inside,Yes,No
2/4/22 15:41,Dart,16,9.75,Inside,No,Yes
2/4/22 15:42,Dart,8.4,0.25,Inside,No,Yes
2/4/22 15:42,Dart,7,6,Inside,No,Yes
2/4/22 15:42,Glider,"16' 6"" ",13.5 ft linearly ,Inside,Yes,No
2/4/22 15:45,Dart,157,161,Inside,No,No
2/4/22 15:47,Dart,181 inches ,59 inches ,Inside,No,No
2/4/22 15:49,Dart,10,19,Inside,Yes,Yes
2/4/22 15:51,Dart,15,4.7083,Inside,No,No
2/4/22 15:53,Dart,9,6.333,Inside,No,No
2/4/22 15:56,Dart,12.66667 feet,-0.416 feet,Inside,No,No
2/4/22 20:37,Glider,2,9,Inside,Yes,No
2/7/22 11:29,Dart,"16'2""","15'8""",Inside,No,No
2/7/22 17:07,Glider,"20'9""","4'2""",Inside,Yes,Yes
